ID	Ozone	Solar.R	Wind	Temp	Month	Day
1	41	190	74	67	may	1
2	36	118	80	72	may	2
3	12	149	126	74	may	3
4	18	313	115	62	may	4
5	NA	NA	143	56	may	5
6	28	NA	149	66	may	6
7	23	299	86	65	may	7
8	19	99	138	59	may	8
9	8	19	201	61	may	9
10	NA	194	86	69	may	10
11	7	NA	69	74	may	11
12	16	256	97	69	may	12
13	11	290	92	66	may	13
14	14	274	109	68	may	14
15	18	65	132	58	may	15
16	14	334	115	64	may	16
17	34	307	120	66	may	17
18	6	78	184	57	may	18
19	30	322	115	68	may	19
20	11	44	97	62	may	20
21	1	8	97	59	may	21
22	11	320	166	73	may	22
23	4	25	97	61	may	23
24	32	92	120	61	may	24
25	NA	66	166	57	may	25
26	NA	266	149	58	may	26
27	NA	NA	80	57	may	27
28	23	13	120	67	may	28
29	45	252	149	81	may	29
30	115	223	57	79	may	30
31	37	279	74	76	may	31
32	NA	286	86	78	jun	1
33	NA	287	97	74	jun	2
34	NA	242	161	67	jun	3
35	NA	186	92	84	jun	4
36	NA	220	86	85	jun	5
37	NA	264	143	79	jun	6
38	29	127	97	82	jun	7
39	NA	273	69	87	jun	8
40	71	291	138	90	jun	9
41	39	323	115	87	jun	10
42	NA	259	109	93	jun	11
43	NA	250	92	92	jun	12
44	23	148	80	82	jun	13
45	NA	332	138	80	jun	14
46	NA	322	115	79	jun	15
47	21	191	149	77	jun	16
48	37	284	207	72	jun	17
49	20	37	92	65	jun	18
50	12	120	115	73	jun	19
51	13	137	103	76	jun	20
52	NA	150	63	77	jun	21
53	NA	59	17	76	jun	22
54	NA	91	46	76	jun	23
55	NA	250	63	76	jun	24
56	NA	135	80	75	jun	25
57	NA	127	80	78	jun	26
58	NA	47	103	73	jun	27
59	NA	98	115	80	jun	28
60	NA	31	149	77	jun	29
61	NA	138	80	83	jun	30
62	135	269	41	84	jul	1
63	49	248	92	85	jul	2
64	32	236	92	81	jul	3
65	NA	101	109	84	jul	4
66	64	175	46	83	jul	5
67	40	314	109	83	jul	6
68	77	276	51	88	jul	7
69	97	267	63	92	jul	8
70	97	272	57	92	jul	9
71	85	175	74	89	jul	10
72	NA	139	86	82	jul	11
73	10	264	143	73	jul	12
74	27	175	149	81	jul	13
75	NA	291	149	91	jul	14
76	7	48	143	80	jul	15
77	48	260	69	81	jul	16
78	35	274	103	82	jul	17
79	61	285	63	84	jul	18
80	79	187	51	87	jul	19
81	63	220	115	85	jul	20
82	16	7	69	74	jul	21
83	NA	258	97	81	jul	22
84	NA	295	115	82	jul	23
85	80	294	86	86	jul	24
86	108	223	80	85	jul	25
87	20	81	86	82	jul	26
88	52	82	120	86	jul	27
89	82	213	74	88	jul	28
90	50	275	74	86	jul	29
91	64	253	74	83	jul	30
92	59	254	92	81	jul	31
93	39	83	69	81	ago	1
94	9	24	138	81	ago	2
95	16	77	74	82	ago	3
96	78	NA	69	86	ago	4
97	35	NA	74	85	ago	5
98	66	NA	46	87	ago	6
99	122	255	40	89	ago	7
100	89	229	103	90	ago	8
101	110	207	80	90	ago	9
102	NA	222	86	92	ago	10
103	NA	137	115	86	ago	11
104	44	192	115	86	ago	12
105	28	273	115	82	ago	13
106	65	157	97	80	ago	14
107	NA	64	115	79	ago	15
108	22	71	103	77	ago	16
109	59	51	63	79	ago	17
110	23	115	74	76	ago	18
111	31	244	109	78	ago	19
112	44	190	103	78	ago	20
113	21	259	155	77	ago	21
114	9	36	143	72	ago	22
115	NA	255	126	75	ago	23
116	45	212	97	79	ago	24
117	168	238	34	81	ago	25
118	73	215	80	86	ago	26
119	NA	153	57	88	ago	27
120	76	203	97	97	ago	28
121	118	225	23	94	ago	29
122	84	237	63	96	ago	30
123	85	188	63	94	ago	31
124	96	167	69	91	sep	1
125	78	197	51	92	sep	2
126	73	183	28	93	sep	3
127	91	189	46	93	sep	4
128	47	95	74	87	sep	5
129	32	92	155	84	sep	6
130	20	252	109	80	sep	7
131	23	220	103	78	sep	8
132	21	230	109	75	sep	9
133	24	259	97	73	sep	10
134	44	236	149	81	sep	11
135	21	259	155	76	sep	12
136	28	238	63	77	sep	13
137	9	24	109	71	sep	14
138	13	112	115	71	sep	15
139	46	237	69	78	sep	16
140	18	224	138	67	sep	17
141	13	27	103	76	sep	18
142	24	238	103	68	sep	19
143	16	201	80	82	sep	20
144	13	238	126	64	sep	21
145	23	14	92	71	sep	22
146	36	139	103	81	sep	23
147	7	49	103	69	sep	24
148	14	20	166	63	sep	25
149	30	193	69	70	sep	26
150	NA	145	132	77	sep	27
151	14	191	143	75	sep	28
152	18	131	80	76	sep	29
153	20	223	115	68	sep	30
